Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-30 15:41:00-05:00,95.86499786376953,95.8949966430664,95.83000183105469,95.86000061035156,180294,0,0
2022-11-30 15:42:00-05:00,95.85549926757812,95.87999725341797,95.81050109863281,95.86499786376953,173923,0,0
2022-11-30 15:43:00-05:00,95.86000061035156,95.91999816894531,95.8499984741211,95.91000366210938,186464,0,0
2022-11-30 15:44:00-05:00,95.91000366210938,95.91500091552734,95.8499984741211,95.88999938964844,210468,0,0
2022-11-30 15:45:00-05:00,95.88500213623047,96.0,95.88150024414062,96.0,323439,0,0
2022-11-30 15:46:00-05:00,95.98999786376953,96.0,95.91000366210938,95.98999786376953,266324,0,0
2022-11-30 15:47:00-05:00,95.98979949951172,96.11000061035156,95.9708023071289,96.08499908447266,404254,0,0
2022-11-30 15:48:00-05:00,96.08000183105469,96.0999984741211,96.0199966430664,96.02999877929688,267163,0,0
2022-11-30 15:49:00-05:00,96.03500366210938,96.06710052490234,95.9000015258789,95.99500274658203,295119,0,0
2022-11-30 15:50:00-05:00,95.98999786376953,96.37999725341797,95.79000091552734,96.11000061035156,1197173,0,0
2022-11-30 15:51:00-05:00,96.09500122070312,96.22000122070312,95.9000015258789,95.94450378417969,664672,0,0
2022-11-30 15:52:00-05:00,95.94999694824219,96.12000274658203,95.87339782714844,96.12000274658203,564074,0,0
2022-11-30 15:53:00-05:00,96.12000274658203,96.19999694824219,95.98999786376953,96.1449966430664,465832,0,0
2022-11-30 15:54:00-05:00,96.13999938964844,96.2699966430664,96.11499786376953,96.16000366210938,588570,0,0
2022-11-30 15:55:00-05:00,96.1500015258789,96.41500091552734,96.13500213623047,96.37000274658203,768425,0,0
2022-11-30 15:56:00-05:00,96.375,96.38999938964844,96.30999755859375,96.34500122070312,623431,0,0
2022-11-30 15:57:00-05:00,96.33999633789062,96.41999816894531,96.27999877929688,96.3499984741211,727553,0,0
2022-11-30 15:58:00-05:00,96.36000061035156,96.43000030517578,96.31999969482422,96.3550033569336,841783,0,0
2022-11-30 15:59:00-05:00,96.36000061035156,96.54000091552734,96.3499984741211,96.54000091552734,2147384,0,0
2022-11-30 16:00:00-05:00,96.5383,96.55,96.32,96.36,12843181,0,0
2022-11-30 16:01:00-05:00,96.37,96.6,96.33,96.57,0,0,0
2022-11-30 16:02:00-05:00,96.56,96.6,96.35,96.4616,0,0,0
2022-11-30 16:03:00-05:00,96.5,96.54,96.45,96.49,0,0,0
2022-11-30 16:04:00-05:00,96.5381,96.5419,96.46,96.54,0,0,0
2022-11-30 16:05:00-05:00,96.5376,96.58,96.33,96.45,0,0,0
2022-11-30 16:06:00-05:00,96.44,96.54,96.32,96.42,0,0,0
2022-11-30 16:07:00-05:00,96.455,96.58,96.39,96.54,0,0,0
2022-11-30 16:08:00-05:00,96.42,96.54,96.38,96.42,0,0,0
2022-11-30 16:09:00-05:00,96.42,96.54,96.42,96.42,0,0,0
2022-11-30 16:10:00-05:00,96.42,96.54,96.42,96.43,0,0,0
2022-11-30 16:11:00-05:00,96.44,96.54,96.4,96.44,0,0,0
2022-11-30 16:12:00-05:00,96.44,96.54,96.42,96.42,0,0,0
2022-11-30 16:13:00-05:00,96.41,96.54,96.37,96.38,0,0,0
2022-11-30 16:14:00-05:00,96.38,96.54,96.35,96.35,0,0,0
2022-11-30 16:15:00-05:00,96.36,96.47,96.35,96.44,0,0,0
2022-11-30 16:16:00-05:00,96.47,96.54,96.35,96.42,0,0,0
2022-11-30 16:17:00-05:00,96.38,96.54,96.38,96.455,0,0,0
2022-11-30 16:18:00-05:00,96.48,96.54,96.38,96.43,0,0,0
2022-11-30 16:19:00-05:00,96.46,96.55,96.43,96.47,0,0,0
