,SPY_Close
2023-02-08 13:58:00-05:00,411.3999938964844
2023-02-08 13:59:00-05:00,411.25
2023-02-08 14:00:00-05:00,411.2099914550781
2023-02-08 14:01:00-05:00,411.2099914550781
2023-02-08 14:02:00-05:00,411.2099914550781
2023-02-08 14:03:00-05:00,411.25
2023-02-08 14:04:00-05:00,411.3299865722656
2023-02-08 14:05:00-05:00,411.25
2023-02-08 14:06:00-05:00,411.1199951171875
2023-02-08 14:07:00-05:00,411.1199951171875
2023-02-08 14:08:00-05:00,411.1499938964844
2023-02-08 14:09:00-05:00,411.260009765625
2023-02-08 14:10:00-05:00,411.5499877929688
2023-02-08 14:11:00-05:00,411.5499877929688
